2017-11-08T11:30, 2017-11-09T09:48, 1338
2017-11-09T10:03, 2017-11-09T11:23, 80
2017-11-09T11:32, 2017-11-09T14:22, 170
2017-11-09T14:32, 2017-11-09T14:38, 6
2017-11-09T14:45, 2017-11-09T21:52, 427
2017-11-09T22:15, 2017-11-10T10:16, 721
2017-11-10T10:26, 2017-11-10T10:26, 0
2017-11-10T10:34, 2017-11-11T13:45, 1631
2017-11-11T14:22, 2017-11-12T12:09, 1307
2017-11-12T12:26, 2017-11-13T08:10, 1184
2017-11-13T08:24, 2017-11-13T09:38, 74
2017-11-13T10:07, 2017-11-13T11:21, 74
2017-11-13T11:35, 2017-11-13T15:27, 232
2017-11-13T15:30, 2017-11-13T15:42, 12
2017-11-13T15:45, 2017-11-13T20:38, 293
2017-11-13T21:05, 2017-11-14T08:21, 676
2017-11-14T08:38, 2017-11-14T14:41, 363
2017-11-14T14:44, 2017-11-14T15:45, 61
2017-11-14T15:47, 2017-11-14T23:43, 476
2017-11-15T00:04, 2017-11-15T09:48, 584
2017-11-15T10:03, 2017-11-15T10:07, 4
2017-11-15T10:10, 2017-11-16T05:31, 1161
2017-11-16T06:01, 2017-11-16T09:27, 206
2017-11-16T09:43, 2017-11-16T11:20, 97
2017-11-16T11:27, 2017-11-17T01:14, 827
2017-11-17T01:34, 2017-11-17T09:52, 498
2017-11-17T10:07, 2017-11-17T13:57, 230
2017-11-17T13:59, 2017-11-18T02:08, 729
2017-11-18T02:28, 2017-11-18T16:12, 824
2017-11-18T16:30, 2017-11-19T02:04, 574
2017-11-19T02:23, 2017-11-19T12:26, 603
2017-11-19T12:41, 2017-11-19T16:51, 250
2017-11-19T17:15, 2017-11-19T20:34, 199
2017-11-19T20:48, 2017-11-20T05:00, 492
2017-11-20T05:32, 2017-11-20T08:09, 157
2017-11-20T08:26, 2017-11-20T09:53, 87
2017-11-20T09:57, 2017-11-20T17:43, 466
2017-11-20T17:45, 2017-11-20T23:27, 342
2017-11-20T23:50, 2017-11-21T08:29, 519
2017-11-21T08:43, 2017-11-21T12:42, 239
2017-11-21T12:43, 2017-11-22T01:03, 740
2017-11-22T01:25, 2017-11-22T11:11, 586
2017-11-22T11:30, 2017-11-23T06:25, 1135
2017-11-23T06:49, 2017-11-23T09:37, 168
2017-11-23T09:50, 2017-11-23T11:27, 97
2017-11-23T11:36, 2017-11-24T00:39, 783
2017-11-24T01:01, 2017-11-24T09:48, 527
